151202	890502161	Jaito		locality	1
151203	102030287	Faridkot		locality	1
151204	890507897	Kotkapura		locality	1
151302	102028505	Talwandi Sabo		locality	2
151502	102030595	Budhlada		locality	1
152001	102030271	Firozpur		locality	5
152026	890504659	Muktsar		locality	1
152113	890504659	Muktsar		locality	1
152116	102031041	Abohar		locality	17
152123	890504853	Fazilka		locality	39
152128	102031041	Abohar		locality	2
160012	102030563	Chandigarh		locality	2
160012	1193246867	Nayagaon		locality	1
160014	102030563	Chandigarh		locality	580
160015	102030563	Chandigarh		locality	2
160016	102030563	Chandigarh		locality	1
160017	102030563	Chandigarh		locality	2
160018	102030563	Chandigarh		locality	4
160019	102030563	Chandigarh		locality	62
160020	102030563	Chandigarh		locality	2
160022	102030563	Chandigarh		locality	4
160023	102030563	Chandigarh		locality	1
160036	102030563	Chandigarh		locality	7
160047	102030563	Chandigarh		locality	6
160055	102031103	Ajitgarh		locality	6
160055	102030563	Chandigarh		locality	1
160062	102031103	Ajitgarh		locality	6
160063	102031103	Ajitgarh		locality	1
160071	102031103	Ajitgarh		locality	6
160101	102030563	Chandigarh		locality	4
160103	102030563	Chandigarh		locality	1
171001	102028631	Shimla		locality	7
171002	102028631	Shimla		locality	1
171004	102028631	Shimla		locality	4
171007	1259460545	Mashobra		locality	1
171009	102028631	Shimla		locality	1
171009	1344234619	Kasumpti		locality	1
171207	890510091	Rohru		locality	2
172001	102028631	Shimla		locality	1
172026	1293370729	Panch		locality	1
172107	890510727	Reckong Peo		locality	1
173001	102029275	Nahan		locality	1
173205	102031129	Baddi		locality	1
173212	102028585	Solan		locality	1
173233	102029809	Kasauli		locality	2
174001	102030635	Bilaspur		locality	1
174023	1276428763	Dangar		locality	1
174303	102028351	Una		locality	1
175001	102029457	Mandi		locality	1
175003	1260169077	Kotli		locality	6
175004	102029457	Mandi		locality	1
175005	102029457	Mandi		locality	1
175101	102029629	Sultanpur		locality	4
175131	102029475	Manali		locality	4
175131	890505249	Old Manali		locality	1
175133	1276959479	Tandi		locality	2
176001	1259563883	Bhawan		locality	4
176023	1310185751	Jawali		locality	2
176061	102029137	Palampur		locality	211
176061	1276310505	Saperu		locality	3
176061	1209402489	Lohna		locality	2
176061	1343448701	Nanahar		locality	2
176062	102029137	Palampur		locality	6
176077	1209395465	Baijnath		locality	1
176082	1259439055	Alampur		locality	3
176094	1344044989	Dramman		locality	1
176101	1259860143	Kakira		locality	8
176102	102029137	Palampur		locality	1
176205	1310086211	Kotla		locality	1
176215	102030387	Dharamsala		locality	12
176216	102030387	Dharamsala		locality	5
176219	102030387	Dharamsala		locality	3
176301	890508191	Bakloh		locality	25
176301	1242861943	Berian		locality	2
176301	1193266057	Ghatasani		locality	2
176302	890509101	Chowari		locality	2
176304	102030457	Dalhousie		locality	11
176310	102030569	Chamba		locality	4
176321	102030569	Chamba		locality	1
177001	102030133	Hamirpur		locality	1
177005	102030133	Hamirpur		locality	3
177023	102030133	Hamirpur		locality	1
200005	102029389	Meerut		locality	1
201001	102030233	Ghaziabad		locality	7
201002	102030233	Ghaziabad		locality	5
201005	102030233	Ghaziabad		locality	5
201009	102030233	Ghaziabad		locality	2
201010	102030233	Ghaziabad		locality	14
201010	102031133	Noida		locality	2
201012	102030233	Ghaziabad		locality	20
201014	102030233	Ghaziabad		locality	8
201102	102030233	Ghaziabad		locality	3
201204	102030233	Ghaziabad		locality	1
201301	102031133	Noida		locality	66
201301	102031095	Greater Noida		locality	1
201301	1125783031	Delhi		locality	1
201303	102031133	Noida		locality	10
201304	102031133	Noida		locality	7
201305	102031133	Noida		locality	5
201306	102031095	Greater Noida		locality	15
201307	102031133	Noida		locality	9
201307	102031095	Greater Noida		locality	1
201308	102031133	Noida		locality	2
201308	102031095	Greater Noida		locality	1
201308	102029189	Delhi		locality	1
201309	102031133	Noida		locality	7
201309	1326569641	Sector		locality	1
201310	1243102933	Tugalpur		locality	3
201310	890501801	Dadri		locality	1
201310	1292952721	Nagar		locality	1
201310	102031095	Greater Noida		locality	1
201314	1292952721	Nagar		locality	1
201318	102031095	Greater Noida		locality	1
202001	102030997	Aligarh		locality	16
203001	102030593	Bulandshahr		locality	1
203207	890501801	Dadri		locality	1
203389	890501483	Narora		locality	1
203394	890509857	Jahangirabad		locality	1
203402	1343997571	Kuchesar		locality	1
204101	102030997	Aligarh		locality	1
205001	890506939	Mainpuri		locality	1
206001	102030297	Etawah		locality	1
206130	102030297	Etawah		locality	1
208002	102029855	Kanpur		locality	3
208004	102029855	Kanpur		locality	2
208005	102029855	Kanpur		locality	4
208011	102029855	Kanpur		locality	1
208012	102029855	Kanpur		locality	1
208014	102029855	Kanpur		locality	1
208016	102029855	Kanpur		locality	3
208017	102029407	Mathura		locality	1
208020	102029855	Kanpur		locality	1
208020	102029093	Panki		locality	1
208023	102029855	Kanpur		locality	1
208027	102029855	Kanpur		locality	2
209202	890505051	Akbarpur		locality	1
209214	102029855	Kanpur		locality	1
209217	102029855	Kanpur		locality	1
209305	102029855	Kanpur		locality	1
209625	890503907	Fatehgarh		locality	1
209732	890505213	Kannauj		locality	1
209734	890505213	Kannauj		locality	1
209801	102028345	Unnao		locality	1
209859.	102028345	Unnao		locality	2
209859	102028345	Unnao		locality	1
210001	102030825	Banda		locality	2
210205	890503153	Chitrakoot		locality	1
210427	890501565	Mahoba		locality	1
211001	102030995	Prayagraj		locality	3
211002	102030995	Prayagraj		locality	3
211002	1343404555	Baghara		locality	2
211003	102030995	Prayagraj		locality	2
211006	102030995	Prayagraj		locality	1
211015	102030995	Prayagraj		locality	3
212601	102030279	Fatehpur		locality	1
220226	890502441	Haldwani (Kathgodam)		locality	1
221001	102028309	Varanasi		locality	21
221002	890503481	Varanasi		locality	1
221003	890503481	Varanasi		locality	4
