011101	1141909417	Bucharest		locality	12
011102	1141909417	Bucharest		locality	8
011131	1141909417	Bucharest		locality	4
011132	1141909417	Bucharest		locality	1
011133	1141909417	Bucharest		locality	2
011134	1141909417	Bucharest		locality	3
011135	1141909417	Bucharest		locality	7
011136	1141909417	Bucharest		locality	2
011137	1141909417	Bucharest		locality	1
011141	1141909417	Bucharest		locality	3
011142	1141909417	Bucharest		locality	3
011143	1141909417	Bucharest		locality	2
011144	1141909417	Bucharest		locality	11
011145	1141909417	Bucharest		locality	4
011146	1141909417	Bucharest		locality	2
011151	1141909417	Bucharest		locality	10
011152	1141909417	Bucharest		locality	7
011158	1141909417	Bucharest		locality	15
011159	1141909417	Bucharest		locality	10
011171	1141909417	Bucharest		locality	26
011172	1141909417	Bucharest		locality	3
011173	1141909417	Bucharest		locality	4
011174	1141909417	Bucharest		locality	6
011182	1141909417	Bucharest		locality	5
011183	1141909417	Bucharest		locality	16
011184	1141909417	Bucharest		locality	4
011188	1141909417	Bucharest		locality	1
011191	1141909417	Bucharest		locality	12
011192	1141909417	Bucharest		locality	6
011193	1141909417	Bucharest		locality	1
011194	1141909417	Bucharest		locality	6
011195	1141909417	Bucharest		locality	6
011203	1141909417	Bucharest		locality	1
011207	1141909417	Bucharest		locality	1
011208	1141909417	Bucharest		locality	1
011209	1141909417	Bucharest		locality	1
011216	1141909417	Bucharest		locality	1
011223	1141909417	Bucharest		locality	1
011231	1141909417	Bucharest		locality	1
011237	1141909417	Bucharest		locality	1
011257	1141909417	Bucharest		locality	34
011258	1141909417	Bucharest		locality	16
011259	1141909417	Bucharest		locality	13
011261	1141909417	Bucharest		locality	34
011262	1141909417	Bucharest		locality	5
011263	1141909417	Bucharest		locality	17
011264	1141909417	Bucharest		locality	31
011265	1141909417	Bucharest		locality	5
011266	1141909417	Bucharest		locality	17
011271	1141909417	Bucharest		locality	26
011272	1141909417	Bucharest		locality	28
011273	1141909417	Bucharest		locality	30
011274	1141909417	Bucharest		locality	29
011275	1141909417	Bucharest		locality	18
011276	1141909417	Bucharest		locality	25
011277	1141909417	Bucharest		locality	17
011278	1141909417	Bucharest		locality	20
011281	1141909417	Bucharest		locality	12
011282	1141909417	Bucharest		locality	13
011285	1141909417	Bucharest		locality	28
011286	1141909417	Bucharest		locality	16
011296	1141909417	Bucharest		locality	22
011297	1141909417	Bucharest		locality	23
011301	1141909417	Bucharest		locality	6
011302	1141909417	Bucharest		locality	1
011303	1141909417	Bucharest		locality	6
011304	1141909417	Bucharest		locality	1
011305	1141909417	Bucharest		locality	2
011315	1141909417	Bucharest		locality	3
011316	1141909417	Bucharest		locality	6
011317	1141909417	Bucharest		locality	14
011322	1141909417	Bucharest		locality	5
011323	1141909417	Bucharest		locality	2
011331	1141909417	Bucharest		locality	1
011332	1141909417	Bucharest		locality	1
011333	1141909417	Bucharest		locality	3
011334	1141909417	Bucharest		locality	5
011341	1141909417	Bucharest		locality	5
011342	1141909417	Bucharest		locality	4
011343	1141909417	Bucharest		locality	2
011345	1141909417	Bucharest		locality	3
011346	1141909417	Bucharest		locality	7
011347	1141909417	Bucharest		locality	2
011349	1141909417	Bucharest		locality	1
011351	1141909417	Bucharest		locality	1
011352	1141909417	Bucharest		locality	3
011355	1141909417	Bucharest		locality	3
011356	1141909417	Bucharest		locality	1
011357	1141909417	Bucharest		locality	6
011365	1141909417	Bucharest		locality	4
011401	1141909417	Bucharest		locality	6
011403	1141909417	Bucharest		locality	12
011411	1141909417	Bucharest		locality	5
011412	1141909417	Bucharest		locality	3
011413	1141909417	Bucharest		locality	19
011414	1141909417	Bucharest		locality	11
011415	1141909417	Bucharest		locality	13
011421	1141909417	Bucharest		locality	18
011422	1141909417	Bucharest		locality	11
011423	1141909417	Bucharest		locality	12
011424	1141909417	Bucharest		locality	10
011425	1141909417	Bucharest		locality	11
011426	1141909417	Bucharest		locality	17
011427	1141909417	Bucharest		locality	12
011428	1141909417	Bucharest		locality	9
011431	1141909417	Bucharest		locality	25
011432	1141909417	Bucharest		locality	28
011433	1141909417	Bucharest		locality	23
011434	1141909417	Bucharest		locality	23
011435	1141909417	Bucharest		locality	2
011436	1141909417	Bucharest		locality	4
011441	1141909417	Bucharest		locality	11
011442	1141909417	Bucharest		locality	20
011443	1141909417	Bucharest		locality	6
011444	1141909417	Bucharest		locality	7
011445	1141909417	Bucharest		locality	9
011446	1141909417	Bucharest		locality	7
011447	1141909417	Bucharest		locality	1
011448	1141909417	Bucharest		locality	3
011455	1141909417	Bucharest		locality	2
011464	1141909417	Bucharest		locality	2
011469	1141909417	Bucharest		locality	1
011471	1141909417	Bucharest		locality	3
011491	1141909417	Bucharest		locality	13
011495	1141909417	Bucharest		locality	7
011497	1141909417	Bucharest		locality	8
011501	1141909417	Bucharest		locality	1
011503	1141909417	Bucharest		locality	3
011507	1141909417	Bucharest		locality	2
011509	1141909417	Bucharest		locality	13
011523	1141909417	Bucharest		locality	2
011561	1141909417	Bucharest		locality	8
011563	1141909417	Bucharest		locality	5
011571	1141909417	Bucharest		locality	3
011572	1141909417	Bucharest		locality	6
011573	1141909417	Bucharest		locality	3
011578	1141909417	Bucharest		locality	1
011581	1141909417	Bucharest		locality	3
011601	1141909417	Bucharest		locality	12
011602	1141909417	Bucharest		locality	3
011603	1141909417	Bucharest		locality	11
011604	1141909417	Bucharest		locality	6
011605	1141909417	Bucharest		locality	5
011606	1141909417	Bucharest		locality	8
011607	1141909417	Bucharest		locality	6
011608	1141909417	Bucharest		locality	2
011609	1141909417	Bucharest		locality	5
011613	1141909417	Bucharest		locality	15
011614	1141909417	Bucharest		locality	12
011615	1141909417	Bucharest		locality	11
011616	1141909417	Bucharest		locality	11
011617	1141909417	Bucharest		locality	4
011617	101753931	Parcu Voluntarilor		locality	4
011618	1141909417	Bucharest		locality	13
011621	1141909417	Bucharest		locality	2
011622	1141909417	Bucharest		locality	6
011623	1141909417	Bucharest		locality	6
011624	1141909417	Bucharest		locality	8
011625	1141909417	Bucharest		locality	10
011626	1141909417	Bucharest		locality	10
011631	1141909417	Bucharest		locality	10
011632	1141909417	Bucharest		locality	7
011633	1141909417	Bucharest		locality	4
011634	1141909417	Bucharest		locality	5
011635	1141909417	Bucharest		locality	7
011636	1141909417	Bucharest		locality	14
011637	1141909417	Bucharest		locality	9
011638	1141909417	Bucharest		locality	11
011641	1141909417	Bucharest		locality	6
011642	1141909417	Bucharest		locality	14
011643	1141909417	Bucharest		locality	11
011644	1141909417	Bucharest		locality	11
011645	101751949	Bucureşti		locality	6
011645	101753929	Cheajna		locality	2
