2711	101788277	Tápiószentmárton		locality	18
2712	101787047	Nyársapát		locality	1
2713	101789517	Csemő		locality	4
2721	101788297	Pilis		locality	90
2723	101788303	Nyáregyháza		locality	12
2724	101787045	Lengyelfalva		locality	1
2730	101788309	Irsa		locality	560
2735	101788323	Dánszentmiklós		locality	2
2737	101788321	Ceglédbercel		locality	27
2740	101788327	Abony		locality	34
2750	101789533	Nagykőrös		locality	21
2755	101788291	Kocsér		locality	4
2760	101788255	Nagykáta		locality	19
2764	101788267	Tápióbicske		locality	109
2765	101788269	Farmos		locality	3
2766	101788283	Tápiószele		locality	17
2767	101788279	Tápiógyörgye		locality	3
2768	101788289	Újszilvás		locality	16
2769	101788287	Tápiószőlős		locality	1
2800	101751707	Tatabánya	TB	locality	480
2821	101786897	Gyermely		locality	1
2822	101786891	Szomor		locality	13
2824	1125942245	Várgesztes		locality	1
2831	101786887	Tarján		locality	15
2834	101786873	Tardos		locality	15
2835	101833305	Tata		locality	29
2836	101833303	Baj		locality	18
2837	101786885	Vértesszőlős		locality	45
2840	101786917	Oroszlány		locality	45
2851	101786899	Környe		locality	16
2852	101786901	Kecskéd		locality	45
2854	101786903	Dad		locality	78
2855	101786915	Bokod		locality	8
2856	101844975	Szend		locality	1
2858	101786909	Császár		locality	8
2859	1209996683	Verteskethely		locality	29
2870	101786911	Kisbér		locality	6
2879	101786911	Kisbér		locality	1
2881	1209093429	Aszar		locality	2
2884	101844977	Bakonyszombathely		locality	4
2885	1276524971	Bakonybank		locality	2
2886	101786919	Réde		locality	13
2889	101788189	Súr		locality	4
2890	101833305	Tata		locality	604
2896	101785807	Szomód		locality	11
2897	1125816095	Dunaszentmiklós		locality	2
2898	101786889	Kocs		locality	15
2899	101785801	Naszály		locality	20
2900	101913503	Komárom		locality	80
2903	101913503	Komárom		locality	2
2911	101786871	Mocsa		locality	26
2921	101833307	Komárno		locality	7
2931	101785791	Almásfüzitő		locality	45
2941	101785799	Ecs		locality	5
2942	101844973	Nagyigmánd		locality	27
2943	101786883	Bábolna		locality	877
2944	101786879	Bana		locality	1
2945	101786893	Tárkány		locality	30
2946	1326910579	Csep		locality	33
3000	101785963	Hatvan		locality	895
3002	101785963	Hatvan		locality	1
3003	101785963	Hatvan		locality	1
3011	101785945	Heréd		locality	16
3012	1193006201	Nagykokenyes		locality	27
3013	101785937	Ecséd		locality	2
3015	101785969	Csány		locality	1
3022	101785933	Lőrinci		locality	1
3035	101784689	Gyöngyöspata		locality	7
3036	101784691	Gyöngyöstarján		locality	1
3042	101784783	Palotás		locality	2
3047	101784765	Buják		locality	3
3053	101784755	Ecseg		locality	1
3060	101784749	Pásztó		locality	9
3064	101784773	Szurdokpüspöki		locality	3
3067	1242956551	Felsotold		locality	20
3068	101784741	Mátraszőlős		locality	19
3070	101784729	Bátonyterenye		locality	8
3073	101784743	Tar		locality	2
3074	1209786845	Samsonhaza		locality	2
3077	101784737	Mátraverebély		locality	20
3078	101784729	Bátonyterenye		locality	8
3082	101784749	Pásztó		locality	59
3100	101783501	Shalgo Tar'yan	ST	locality	14
3104	101783501	Shalgo Tar'yan	ST	locality	4
3121	1125941041	Somoskőújfalu		locality	3
3123	101783465	Cered		locality	2
3124	1293572809	Zabar		locality	1
3136	1242761297	Etes		locality	1
3170	101783473	Szécsény		locality	17
3175	101783497	Nagylóc		locality	112
3176	1125891969	Hollókő		locality	20
3177	101783491	Varsány		locality	4
3178	101783489	Varsány		locality	24
3179	1276628695	Nogradsipek		locality	5
3182	101833393	Karancslapujtő		locality	1
3187	1326913715	Nogradszakal		locality	2
3200	101784709	Gyöngyös		locality	30
3201	101780111	Hevesugra		locality	2
3212	101780113	Gyöngyöshalász		locality	1
3214	101785931	Nagyréde		locality	14
3221	101784709	Gyöngyös		locality	2
3231	101780103	Gyöngyössolymos		locality	1
3232	101784709	Gyöngyös		locality	5
3233	101784709	Gyöngyös		locality	2
3234	1126027025	Mátraszentimre		locality	2
3235	1126027025	Mátraszentimre		locality	73
3240	101784667	Parád		locality	95
3242	1125938031	Paradsasvar		locality	9
3244	101784667	Parád		locality	8
3245	101784659	Recsk		locality	13
3246	101784657	Mátraderecske		locality	36
3247	1243542763	Matraballa		locality	16
3250	101783463	Pétervására		locality	1
3252	1259867561	Erdokovesd		locality	203
3254	1344045345	Varaszo		locality	58
3255	1293273329	Fedemes		locality	191
3261	101784697	Abasár		locality	19
3262	101784687	Markaz		locality	63
3272	101780105	Visonta		locality	16
3275	101784713	Detk		locality	2
3281	101789521	Táborfalva		locality	3
3281	101785939	Karácsond		locality	2
3284	101875775	Tarnaméra		locality	1
3291	101785953	Vámosgyörk		locality	3
3300	101751719	Erlau	EG	locality	682
3323	1125911291	Szarvaskő		locality	113
3324	101843555	Felsőtárkány		locality	533
3325	101843557	Noszvaj		locality	329
3327	101784675	Novaj		locality	1
3328	101784669	Egerszólát		locality	2
3332	101784665	Sirok		locality	11
3335	1276956643	Bukkszek		locality	27
3336	1344238179	Bator		locality	39
3341	101783461	Egercsehi		locality	47
3341	1344235199	Szucs		locality	1
3346	101783459	Bélapátfalva		locality	43
3347	101843561	Balaton		locality	2
3348	101783453	Szilvásvárad		locality	289
3349	101783451	Nagyvisnyó		locality	3
3350	101785935	Kál		locality	1
3351	101784679	Verpelét		locality	1
3352	101784693	Feldebrő		locality	5
3355	101833387	Kápolna		locality	2
3358	101785955	Erdőtelek		locality	3
3360	101785985	Heves		locality	162
3368	101785973	Boconád		locality	41
3374	101784721	Dormánd		locality	1
3384	101787131	Kisköre		locality	6
3385	101785929	Tiszanána		locality	6
3386	101785987	Sarud		locality	34
3388	101785967	Poroszló		locality	30
3390	101784719	Füzesabony		locality	3
3394	101784671	Egerszalók		locality	162
3395	1225826345	Demjen		locality	9
3396	101784703	Kerecsend		locality	2
3397	101784695	Maklár		locality	8
3398	1293871749	Nagytalya		locality	1
3400	101784837	Mezőkövesd		locality	23
3411	101784819	Szomolya		locality	1
3412	101784815	Bogács		locality	141
3413	101784809	Cserépfalu		locality	64
3414	101783611	Bükkzsérc		locality	7
3416	101843669	Tard		locality	2
3422	101843647	Bükkábrány		locality	1
3423	101784811	Tibolddaróc		locality	9
3424	1243068755	Kacs		locality	6
3425	101783613	Sály		locality	1
3432	101783621	Emőd		locality	87
3433	101783599	Malom		locality	4
3434	101783681	Mályi		locality	1
3441	101784833	Mezőkeresztes		locality	1
3450	101784835	Mezőcsát		locality	2
3464	1125959079	Tiszavalk		locality	3
3465	1125887729	Tiszabábolna		locality	2
3501	101751725	Miskolc		locality	1
3502	101751725	Miskolc		locality	1
3503	101751725	Miskolc		locality	1
3504	101751725	Miskolc		locality	1
3505	101751725	Miskolc		locality	1
3506	101751725	Miskolc		locality	1
3507	101751725	Miskolc		locality	1
3508	101751725	Miskolc		locality	7
3510	101751725	Miskolc		locality	1
3511	101751725	Miskolc		locality	2
3515	101751725	Miskolc		locality	1
3516	101751725	Miskolc		locality	11
3517	101751725	Miskolc		locality	21
3519	101751725	Miskolc		locality	45
3521	101751725	Miskolc		locality	16
3523	101751725	Miskolc		locality	1
3524	101751725	Miskolc		locality	40
3525	101751725	Miskolc		locality	69
3526	101751725	Miskolc		locality	98
3527	101751725	Miskolc		locality	34
3528	101751725	Miskolc		locality	10
3529	101751725	Miskolc		locality	120
3530	101751725	Miskolc		locality	95
3531	101751725	Miskolc		locality	28
3532	101751725	Miskolc		locality	26
3533	101751725	Miskolc		locality	19
3534	101751725	Miskolc		locality	76
3535	101751725	Miskolc		locality	337
3552	1125796705	Muhi		locality	124
3553	101783669	Kistokaj		locality	1
3556	101783593	Kisgyőr		locality	1
3557	101783663	Bükkszentkereszt		locality	38
3559	1125989943	Répáshuta		locality	22
3561	101783653	Felsőzsolca		locality	38
3562	101783647	Onga		locality	289
3563	101833441	Hernádkak		locality	2
3571	101783661	Alsózsolca		locality	18
3575	101783679	Berzék		locality	1
3576	101783597	Sajóhídvég		locality	11
3578	1309713095	Girincs		locality	12
3580	101784813	Tiszaszederken		locality	1310
3589	101784831	Tiszatarján		locality	1
3595	1209920251	Hejoszalonta		locality	1
3599	101783617	Sajószöged		locality	1
3600	101843661	Ózd		locality	168
3601	101843661	Ózd		locality	1
3603	101843661	Ózd		locality	2
3604	101843661	Ózd		locality	1
3607	101843661	Ózd		locality	1
3622	1125816477	Uppony		locality	107
3630	101782425	Putnok		locality	3
3635	1276340917	Dubicsany		locality	1
3636	1243073897	Vadna		locality	1
3643	101783631	Dédestapolcsány		locality	7
3644	101783635	Tardona		locality	6
3645	1125816263	Mályinka		locality	1
3648	1293889799	Bukkmogyorosd		locality	2
3658	1293789813	Borsodbota		locality	1
3659	101783627	Sáta		locality	1
3661	101843661	Ózd		locality	5
3662	101843661	Ózd		locality	2
3671	101783649	Borsodnádasd		locality	9
3700	101833419	Kazincbarcika		locality	197
3704	101833421	Berente		locality	2
3704	101833419	Kazincbarcika		locality	1
3711	101783641	Szirmabesenyő		locality	21
3715	101833439	Gesztely		locality	188
3720	1209416005	Sajoivanka		locality	2
3720	101782429	Sajókaza		locality	1
3721	101833409	Felsőnyárád		locality	3
3726	1343858685	Zadorfalva		locality	3
3728	1343286069	Gomorszolos		locality	17
3728	1243454681	Kelemer		locality	1
3731	101833415	Szuhakálló		locality	125
3732	101833411	Kurityán		locality	1
3733	101782401	Rudabánya		locality	1
3734	101782399	Szuhogy		locality	16
3735	1209539675	Alsotelekes		locality	6
3741	101833413	Izsófalva		locality	2
3744	101833417	Múcsony		locality	1
3752	101782391	Szendrő		locality	4
3752	1259507629	Galvacs		locality	1
3753	1260080645	Abod		locality	2
3754	1125954899	Meszes		locality	2
3756	1260080627	Perkupa		locality	1
3756	1243478411	Varboc		locality	1
3757	1259388957	Egerszog		locality	11
3757	1343494065	Teresztenye		locality	8
3758	1125816175	Jósvafő		locality	6
3759	1125806397	Aggtelek		locality	19
3761	1226342785	Szinpetri		locality	69
3762	1125998947	Szögliget		locality	159
3763	101781347	Bódvaszilas		locality	2
3764	1343585269	Bodvarako		locality	15
3765	1125887203	Tornaszentandrás		locality	76
3765	1259707839	Tornabarakony		locality	4
3768	1210016877	Bodvalenke		locality	2
3768	1276980817	Hidvegardo		locality	1
3770	101833427	Sajószentpéter		locality	10
3773	1242778159	Sajolaszlofalva		locality	1
3776	1226753939	Radostyan		locality	3
3777	101833431	Parasznya		locality	1
3780	101782427	Edelény		locality	146
3786	1276442457	Irota		locality	3
3791	101782477	Sajókeresztúr		locality	1
3792	101843663	Sajóbábony		locality	11
3793	101782471	Sajóecseg		locality	1
3794	101782457	Boldva		locality	1
3795	1310412055	Nyomar		locality	1
3800	101782465	Szikszó		locality	8
3821	1243363987	Krasznokvajda		locality	3
3825	1259584283	Debrete		locality	2
3826	1309906167	Rakacaszend		locality	1
